iter	Passed	Remaining
0	1	130
1	2	127
2	3	124
3	5	128
4	6	121
5	7	120
6	8	118
7	10	116
8	11	115
9	12	112
10	13	110
11	14	108
12	15	106
13	16	104
14	18	102
15	19	100
16	20	99
17	21	97
18	22	96
19	24	98
20	26	101
21	28	100
22	29	99
23	30	97
24	32	96
25	33	94
26	34	93
27	35	91
28	36	89
29	37	88
30	38	86
31	39	84
32	41	84
33	42	82
34	43	81
35	44	79
36	55	94
37	57	93
38	58	91
39	59	89
40	60	86
41	60	83
42	61	81
43	62	79
44	63	77
45	64	75
46	65	73
47	66	72
48	67	70
49	69	69
50	71	68
51	72	66
52	72	64
53	73	62
54	74	60
55	75	59
56	76	57
57	77	55
58	78	54
59	79	52
60	80	51
61	81	49
62	81	48
63	82	46
64	83	45
65	84	43
66	85	42
67	86	40
68	87	39
69	88	38
70	90	36
71	91	35
72	92	34
73	92	32
74	93	31
75	94	29
76	95	28
77	96	27
78	97	26
79	98	24
80	99	23
81	100	22
82	101	20
83	102	19
84	103	18
85	104	16
86	105	15
87	106	14
88	107	13
89	109	12
90	110	10
91	111	9
92	111	8
93	112	7
94	113	5
95	114	4
96	115	3
97	116	2
98	117	1
99	118	0
